                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4045,                 3.6564,                 4.0844,                0.06223,                0.03194,                0.00878,                0.00277,                  3.131,                 3.9799,                 4.1447,              0.0033256,              0.0033256,              0.0033256
                      2,                 2.7555,                 3.0248,                 3.3481,                0.33081,                0.16462,                0.14385,                0.04921,                 2.7561,                 3.3592,                 3.5451,               0.006593,               0.006593,               0.006593
                      3,                 2.1408,                 2.4061,                 2.6158,                0.38249,                 0.2113,                0.18858,                0.09629,                 2.5835,                 3.8708,                 3.0685,              0.0097944,              0.0097944,              0.0097944
                      4,                 1.7848,                 1.9556,                 2.1949,                0.60637,                0.18428,                0.21455,                 0.1318,                 2.4035,                 3.5806,                 2.7926,               0.009703,               0.009703,               0.009703
                      5,                   1.58,                 1.6841,                 1.9541,                0.63939,                0.18673,                0.22068,                0.15092,                  2.202,                 3.3174,                 2.6843,               0.009703,               0.009703,               0.009703
                      6,                  1.472,                 1.5266,                 1.8341,                 0.6095,                0.24324,                0.27336,                0.17629,                  2.195,                 2.8743,                 2.5812,               0.009604,               0.009604,               0.009604
                      7,                 1.4037,                 1.4296,                   1.76,                0.57651,                0.22604,                0.25121,                0.16431,                 2.2577,                 2.8302,                 2.5852,               0.009505,               0.009505,               0.009505
                      8,                 1.3365,                 1.3348,                 1.6873,                0.67483,                 0.2285,                0.25307,                0.16819,                 2.1664,                 2.9652,                 2.6026,               0.009406,               0.009406,               0.009406
                      9,                 1.3092,                 1.3106,                 1.6641,                0.74022,                0.21376,                0.22145,                0.16327,                 2.1501,                 3.0094,                 2.4983,               0.009307,               0.009307,               0.009307
                     10,                 1.2647,                 1.2504,                 1.6198,                0.71954,                0.21622,                0.24262,                0.17357,                 2.1353,                 2.8598,                  2.406,               0.009208,               0.009208,               0.009208
                     11,                 1.2391,                 1.2225,                 1.5942,                0.61852,                0.27487,                    0.3,                0.20002,                 2.0192,                 2.5233,                 2.3804,               0.009109,               0.009109,               0.009109
                     12,                 1.2239,                 1.2072,                 1.5797,                0.64096,                0.25061,                0.29023,                 0.2038,                 1.9546,                 2.4668,                 2.2625,                0.00901,                0.00901,                0.00901
                     13,                 1.1945,                   1.16,                 1.5488,                0.60584,                0.25553,                0.29074,                  0.198,                 2.0279,                  2.549,                 2.3365,               0.008911,               0.008911,               0.008911
                     14,                 1.1783,                 1.1539,                 1.5431,                0.71668,                0.24079,                0.27361,                0.18608,                 2.0577,                 2.7698,                 2.4902,               0.008812,               0.008812,               0.008812
                     15,                 1.1596,                 1.1167,                  1.521,                0.61894,                 0.2457,                0.26955,                0.19129,                  1.988,                 2.6115,                 2.3256,               0.008713,               0.008713,               0.008713
                     16,                 1.1421,                 1.1004,                 1.5005,                0.76143,                 0.2431,                0.29025,                 0.2008,                 1.9753,                 2.5511,                 2.3224,               0.008614,               0.008614,               0.008614
                     17,                 1.1376,                  1.094,                 1.4974,                 0.6601,                0.25307,                0.28505,                0.20289,                 1.8775,                 2.5159,                 2.2475,               0.008515,               0.008515,               0.008515
                     18,                 1.1155,                 1.0668,                 1.4792,                0.51269,                0.25553,                0.27732,                0.19219,                 1.9831,                 2.5934,                  2.339,               0.008416,               0.008416,               0.008416
                     19,                 1.1056,                  1.061,                 1.4701,                 0.6153,                0.24816,                0.28321,                0.19532,                  1.952,                 2.6279,                 2.2883,               0.008317,               0.008317,               0.008317
                     20,                 1.1013,                 1.0514,                 1.4564,                0.57855,                0.26781,                0.29359,                0.19859,                 1.9896,                 2.5214,                 2.3768,               0.008218,               0.008218,               0.008218
                     21,                 1.0909,                 1.0425,                 1.4498,                0.52873,                0.23342,                0.25554,                0.18704,                 1.9181,                 2.6984,                 2.2766,               0.008119,               0.008119,               0.008119
                     22,                 1.0787,                 1.0167,                 1.4411,                0.67168,                0.25553,                0.30272,                0.20607,                 1.8954,                 2.4289,                 2.2314,                0.00802,                0.00802,                0.00802
                     23,                 1.0673,                 1.0083,                 1.4354,                0.72769,                0.26781,                0.30859,                0.20755,                 1.9215,                 2.3956,                 2.2932,               0.007921,               0.007921,               0.007921
                     24,                 1.0577,                 1.0028,                 1.4322,                 0.5956,                0.25307,                0.29892,                0.20318,                 1.9354,                 2.4369,                 2.1866,               0.007822,               0.007822,               0.007822
                     25,                 1.0614,                 0.9992,                 1.4304,                0.67768,                0.25553,                0.30402,                0.20383,                 1.9209,                 2.3572,                  2.236,               0.007723,               0.007723,               0.007723
                     26,                 1.0512,                0.97816,                 1.4192,                0.65585,                0.28993,                 0.3308,                 0.2198,                 1.9356,                 2.3487,                 2.2701,               0.007624,               0.007624,               0.007624
