                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8094,                 12.017,                 4.2211,                      0,                      0,                      0,                      0,                 5.9951,                   10.7,                 4.1618,                0.00024,                0.00024,                0.00024
                      2,                 5.3645,                 10.463,                 3.9706,                      0,                      0,                      0,                      0,                 5.9846,                 10.403,                 4.1502,             0.00049505,             0.00049505,             0.00049505
                      3,                 4.5058,                 7.7534,                  3.623,                      0,                      0,                      0,                      0,                 6.0432,                 9.2973,                 4.2294,             0.00074495,             0.00074495,             0.00074495
                      4,                 3.7999,                 5.8569,                 3.1806,                      0,                      0,                      0,                      0,                 6.2012,                 8.5036,                  4.518,             0.00098971,             0.00098971,             0.00098971
                      5,                 3.3819,                 5.2772,                  2.709,                      0,                      0,                      0,                      0,                 6.2335,                 9.5793,                 4.6116,              0.0012293,              0.0012293,              0.0012293
                      6,                 3.1816,                 4.5031,                 2.6807,                      0,                      0,                      0,                      0,                  4.688,                 5.6637,                 3.2186,              0.0014638,              0.0014638,              0.0014638
                      7,                 3.0555,                 3.9193,                 2.2664,                  2e-05,                0.00395,                  1e-05,                  1e-05,                  5.371,                 7.4352,                 3.7611,              0.0016931,              0.0016931,              0.0016931
                      8,                 2.8963,                 3.8409,                 2.2665,                0.16943,                0.07115,                0.04962,                0.01413,                 3.0609,                 4.4882,                 2.5901,              0.0018614,              0.0018614,              0.0018614
                      9,                  2.768,                 3.4267,                 2.1374,                0.29156,                0.24111,                0.17062,                0.04838,                 2.6985,                 3.9484,                 2.1821,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.6961,                  3.334,                 2.0092,                0.25374,                0.29644,                 0.2123,                0.06768,                 2.5927,                 4.7532,                 2.0111,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.7352,                 3.2771,                 1.9523,                0.40838,                0.24506,                0.20776,                0.06936,                 2.5175,                 4.7493,                 1.9698,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.6054,                 2.8497,                 1.8752,                0.41629,                0.24506,                0.23734,                 0.0922,                 2.4025,                 4.3245,                 1.8705,               0.001802,               0.001802,               0.001802
                     13,                 2.6962,                 2.9152,                 1.8701,                0.34864,                0.23272,                0.20863,                0.07199,                 2.4056,                 3.3992,                 1.8653,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.5481,                 2.8556,                 1.8416,                0.43705,                 0.3038,                 0.2627,                0.09736,                 2.3433,                 2.8094,                 1.8518,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.4041,                 2.6495,                 1.7696,                0.37247,                 0.2332,                0.20422,                 0.0829,                 2.3408,                 3.1682,                 1.8583,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.5006,                 2.6515,                  1.825,                0.26793,                0.25605,                0.18114,                0.06485,                 2.5241,                 3.0998,                 1.9527,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.4386,                 2.4806,                 1.7559,                0.27341,                0.18972,                0.14217,                0.05454,                 2.4703,                 3.5666,                 1.9779,               0.001703,               0.001703,               0.001703
                     18,                 2.4075,                 2.4772,                 1.7521,                0.51649,                0.35573,                0.37733,                 0.1528,                 2.1751,                  2.501,                 1.7171,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2191,                 2.4529,                 1.6895,                0.51791,                0.41107,                0.41217,                0.16453,                  2.126,                 2.2946,                 1.6494,              0.0016634,              0.0016634,              0.0016634
